Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_18_5/cpio.cfg,276,4,16,10,/originalFileDeep",9.070017139544362e-4,9.004047710273051e-4,9.167902799659945e-4,2.7555540489569418e-5,1.786507754190479e-5,4.070140357587012e-5
"inputs/busybox/cfgs-1_18_5/cpio.cfg,276,4,16,10,/originalFileDeepMemo",8.882164229049375e-4,8.833512110545176e-4,8.948392420009864e-4,1.8497788975371813e-5,1.537627226630619e-5,2.2197951283440337e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_19_0/cpio.cfg,276,4,16,10,/evolvedFileDeep",9.048360522291712e-4,8.989708971917447e-4,9.125056807131313e-4,2.3194336917119968e-5,1.6748355909205417e-5,3.466356499229766e-5
"inputs/busybox/cfgs-1_19_0/cpio.cfg,276,4,16,10,/evolvedFileDeepMemo",8.954503929854246e-4,8.897579238957132e-4,9.011293861463866e-4,1.9165619608654732e-5,1.5377680448564138e-5,2.392201167223165e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_18_5/tar.cfg,386,12,4096,490,/originalFileDeep",1.2407586507642177e-3,1.2230050991590036e-3,1.27425752907363e-3,8.273456026090474e-5,5.037429068848142e-5,1.4052632406220066e-4
"inputs/busybox/cfgs-1_18_5/tar.cfg,386,12,4096,490,/originalFileDeepMemo",1.0083388035521418e-3,9.935212522288203e-4,1.0350639765053145e-3,6.733212532761913e-5,3.835733660898074e-5,1.103353647807124e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_19_0/tar.cfg,319,12,4096,490,/evolvedFileDeep",9.954033028115189e-4,9.889595456386868e-4,1.0082338189773092e-3,3.034529338143174e-5,1.7996515638579142e-5,5.1968826137459353e-5
"inputs/busybox/cfgs-1_19_0/tar.cfg,319,12,4096,490,/evolvedFileDeepMemo",7.984209416491597e-4,7.89195858408671e-4,8.160705302312041e-4,4.1066048024885415e-5,2.5888125576465703e-5,6.52529176705043e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_18_5/cksum.cfg,105,1,2,2,/originalFileDeep",1.6523475946323037e-4,1.6471912761003996e-4,1.6603678491154477e-4,2.1560287097258137e-6,1.646725302810584e-6,3.110777717101011e-6
"inputs/busybox/cfgs-1_18_5/cksum.cfg,105,1,2,2,/originalFileDeepMemo",1.0522260925876952e-4,1.0455163115761629e-4,1.062918582279675e-4,2.816271079876518e-6,1.8694837054565075e-6,4.6643428401345435e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_19_0/cksum.cfg,105,1,2,2,/evolvedFileDeep",1.6732434239949873e-4,1.6640772609060326e-4,1.6883452654660642e-4,3.72029186731347e-6,2.5786938308810225e-6,5.528050402553077e-6
"inputs/busybox/cfgs-1_19_0/cksum.cfg,105,1,2,2,/evolvedFileDeepMemo",1.0410206268989074e-4,1.0350576845588182e-4,1.0502031323133011e-4,2.4018278869924958e-6,1.7256657346724858e-6,3.2553943159420307e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_18_5/wc.cfg,188,5,32,8,/originalFileDeep",4.6610442369663063e-4,4.6332235346510913e-4,4.686803701945989e-4,9.16873070876596e-6,7.631390678719627e-6,1.131670294904402e-5
"inputs/busybox/cfgs-1_18_5/wc.cfg,188,5,32,8,/originalFileDeepMemo",3.6496433127062834e-4,3.6330085834622824e-4,3.6689176843709715e-4,6.087010670305807e-6,4.90069720544387e-6,8.379509490357253e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_19_0/wc.cfg,188,5,32,8,/evolvedFileDeep",4.642477334414814e-4,4.622554266255859e-4,4.6739635257548933e-4,8.38336817295989e-6,5.758503297551448e-6,1.2641118879797787e-5
"inputs/busybox/cfgs-1_19_0/wc.cfg,188,5,32,8,/evolvedFileDeepMemo",3.631798739156849e-4,3.613944025792429e-4,3.649918634679263e-4,6.336856530944676e-6,5.345748288340352e-6,7.911395024969227e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_18_5/vfork_daemon_rexec.cfg,238,2,4,4,/originalFileDeep",5.159997576202033e-4,5.123250447973096e-4,5.282573668610693e-4,1.850565812393811e-5,7.442194207871387e-6,3.887350984839615e-5
"inputs/busybox/cfgs-1_18_5/vfork_daemon_rexec.cfg,238,2,4,4,/originalFileDeepMemo",3.8817963398476854e-4,3.825022487531824e-4,3.9769959939354733e-4,2.3677840202276907e-5,1.7502721775947217e-5,3.9042352005536674e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_19_0/vfork_daemon_rexec.cfg,232,2,4,4,/evolvedFileDeep",5.031205641705094e-4,4.998218989209107e-4,5.073582407792995e-4,1.179529526507584e-5,9.259596803263212e-6,1.701010382137306e-5
"inputs/busybox/cfgs-1_19_0/vfork_daemon_rexec.cfg,232,2,4,4,/evolvedFileDeepMemo",3.6691011621383984e-4,3.6355349820459706e-4,3.7332209444864204e-4,1.4606646077345071e-5,9.20955554450662e-6,2.544518528115134e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"inputs/busybox/cfgs-1_18_5/chat.cfg,258,6,64,64,/originalFileDeep",9.715768515679802e-4,9.635636361614632e-4,9.88264492130686e-4,3.655001263183254e-5,2.1407812925192392e-5,6.376557625025117e-5
